代码,名称,网格评分,日均振幅(%),震荡纯度,近20日成交额,MA变异系数,趋势斜率
600060,海信视像,17.04,3.36,0.986,3.43 亿,0.071,0.0232
603220,中贝通信,17.04,4.67,0.975,8.50 亿,0.1347,0.0327
000993,闽东电力,16.98,3.45,0.958,2.02 亿,0.0838,0.0111
301312,智立方,16.95,5.44,0.923,6.37 亿,0.1858,0.0103
000829,天音控股,16.94,4.22,0.98,2.78 亿,0.1097,0.0346
300775,三角防务,16.93,3.81,0.956,27.80 亿,0.0853,0.0299
688378,奥来德,16.91,5.16,0.945,2.62 亿,0.1556,0.0328
603619,中曼石油,16.88,3.44,0.928,12.12 亿,0.0785,0.0108
300327,中颖电子,16.88,3.89,0.984,6.74 亿,0.1229,0.004
002520,日发精机,16.87,4.57,0.985,2.72 亿,0.1321,0.035
002552,宝鼎科技,16.85,3.91,0.98,2.89 亿,0.1187,0.0086
688408,中信博,16.82,4.55,0.988,3.83 亿,0.1609,0.0065
301293,三博脑科,16.82,4.45,0.959,10.12 亿,0.1323,0.0215
688503,聚和材料,16.81,5.59,0.933,14.39 亿,0.1847,0.0254
000890,法尔胜,16.81,4.88,0.949,2.43 亿,0.159,0.0166
688539,高华科技,16.81,4.35,0.954,2.24 亿,0.123,0.0242
688798,艾为电子,16.78,4.46,0.98,3.03 亿,0.1284,0.0322
300487,蓝晓科技,16.77,3.57,0.974,3.47 亿,0.0979,0.0094
301231,荣信文化,16.76,5.95,0.993,4.77 亿,0.2213,0.031
600734,实达集团,16.74,4.18,0.989,4.39 亿,0.1167,0.0306
688095,福昕软件,16.71,5.62,1.0,3.98 亿,0.2147,0.0218
688327,云从科技,16.71,5.19,0.995,5.92 亿,0.1793,0.0297
300217,东方电热,16.7,3.39,0.983,5.25 亿,0.0982,0.0013
301071,力量钻石,16.69,4.04,0.962,7.89 亿,0.1165,0.0167
601133,柏诚股份,16.67,3.69,0.959,4.32 亿,0.1093,0.0032
601702,华峰铝业,16.62,3.6,0.945,4.19 亿,0.0745,0.0304
300820,英杰电气,16.61,4.64,0.998,4.04 亿,0.141,0.0381
688333,铂力特,16.59,5.19,0.972,11.47 亿,0.1815,0.0223
688097,博众精工,16.57,4.76,0.951,3.51 亿,0.1357,0.0371
600131,国网信通,16.57,3.38,0.972,4.62 亿,0.0737,0.0248
688017,绿的谐波,16.55,5.34,0.944,21.60 亿,0.1661,0.0384
003009,中天火箭,16.55,3.76,0.966,3.60 亿,0.1138,0.0054
300494,盛天网络,16.53,4.99,0.994,4.44 亿,0.1525,0.0477
300080,易成新能,16.52,4.08,0.987,2.62 亿,0.1246,0.0189
603505,金石资源,16.51,3.34,0.975,3.54 亿,0.0717,0.0255
300223,北京君正,16.51,4.39,0.943,37.46 亿,0.1396,0.0113
301270,汉仪股份,16.51,4.95,0.989,2.30 亿,0.1856,0.0111
300229,拓尔思,16.45,4.91,0.989,12.69 亿,0.1765,0.0186
000525,红太阳,16.44,3.61,0.99,3.82 亿,0.0815,0.0358
002339,积成电子,16.43,4.02,0.944,8.51 亿,0.103,0.028
002146,荣盛发展,16.42,4.48,0.972,2.67 亿,0.1162,0.0491
300875,捷强装备,16.42,5.82,0.999,2.17 亿,0.211,0.0429
600641,先导基电,16.4,3.91,0.978,6.01 亿,0.1265,0.0069
688409,富创精密,16.38,5.05,0.934,6.74 亿,0.1706,0.0175
002886,沃特股份,16.38,4.2,0.966,2.62 亿,0.1201,0.0275
300617,安靠智电,16.36,3.9,0.946,7.19 亿,0.1215,0.0038
688311,盟升电子,16.35,5.81,0.984,2.72 亿,0.2173,0.0322
688662,富信科技,16.34,5.68,0.96,2.70 亿,0.1975,0.0363
603912,佳力图,16.33,4.02,0.989,2.12 亿,0.1365,0.007
300661,圣邦股份,16.33,3.94,0.987,14.67 亿,0.1008,0.0376
002019,亿帆医药,16.33,3.11,0.991,2.09 亿,0.0799,0.009
000025,特  力Ａ,16.24,3.15,0.984,2.06 亿,0.0691,0.0216
600398,海澜之家,16.24,3.08,0.997,2.72 亿,0.0774,0.0118
600545,卓郎智能,16.23,4.48,0.97,2.68 亿,0.1575,0.0105
300166,东方国信,16.16,4.52,0.978,14.08 亿,0.1544,0.0192
688699,明微电子,16.15,4.77,0.973,3.73 亿,0.1581,0.0292
601005,重庆钢铁,16.1,3.06,0.993,3.93 亿,0.0863,0.0026
000545,金浦钛业,16.06,4.37,0.984,2.39 亿,0.1487,0.0192
600841,动力新科,16.06,4.58,0.94,5.31 亿,0.1502,0.018
600776,东方通信,16.05,3.6,0.95,8.00 亿,0.0961,0.017
002506,协鑫集成,16.03,3.67,0.931,52.48 亿,0.0949,0.0184
300444,双杰电气,16.03,4.44,0.911,18.88 亿,0.112,0.0401
000560,我爱我家,15.97,4.62,0.983,6.92 亿,0.1377,0.0468
688507,索辰科技,15.97,5.39,0.977,2.11 亿,0.1955,0.0339
603132,金徽股份,15.94,3.16,0.945,3.83 亿,0.0675,0.0195
000048,京基智农,15.94,3.41,0.99,2.75 亿,0.0836,0.0281
300261,雅本化学,15.88,3.94,0.995,2.22 亿,0.1254,0.0214
300088,长信科技,15.88,3.31,0.981,5.83 亿,0.0895,0.0149
300265,通光线缆,15.85,4.41,0.937,12.05 亿,0.1339,0.0266
002957,科瑞技术,15.85,3.95,0.939,7.67 亿,0.1088,0.025
300232,洲明科技,15.79,3.74,0.986,3.62 亿,0.1261,0.0073
688728,格科微,15.78,3.5,0.986,3.05 亿,0.0977,0.021
300176,鸿特科技,15.77,4.1,0.981,2.54 亿,0.1216,0.0333
688169,石头科技,15.76,3.91,0.992,5.58 亿,0.1063,0.0401
