代码,名称,网格评分,日均振幅(%),震荡纯度,近20日成交额,MA变异系数,趋势斜率
600800,渤海化学,13.57,4.25,0.979,2.02 亿,0.1809,0.0258
300533,冰川网络,13.56,5.32,0.989,3.35 亿,0.2753,0.0131
300263,隆华科技,13.56,3.56,0.944,9.47 亿,0.1215,0.0265
688126,沪硅产业,13.51,3.51,0.988,10.08 亿,0.1329,0.0237
600977,中国电影,13.5,3.14,0.997,16.13 亿,0.1265,0.0055
002925,盈趣科技,13.48,3.36,0.957,3.07 亿,0.1323,0.0062
300036,超图软件,13.48,3.69,0.987,3.46 亿,0.1239,0.0463
301330,熵基科技,13.47,3.94,0.959,2.16 亿,0.1587,0.0221
301155,海力风电,13.44,4.54,0.977,3.03 亿,0.1904,0.0398
002945,华林证券,13.42,3.33,0.987,7.82 亿,0.117,0.0277
002913,奥士康,13.42,3.98,0.946,2.47 亿,0.1584,0.0221
002317,众生药业,13.41,3.98,0.977,8.53 亿,0.1801,0.0095
000031,大悦城,13.4,3.7,0.983,2.52 亿,0.1328,0.0383
002183,怡 亚 通,13.4,3.39,0.988,9.24 亿,0.135,0.0151
002350,北京科锐,13.39,3.76,0.923,2.22 亿,0.1295,0.0298
301031,中熔电气,13.38,4.47,0.942,5.08 亿,0.1792,0.0353
600556,天下秀,13.38,4.17,0.989,14.53 亿,0.1734,0.0353
000936,华西股份,13.35,3.74,0.986,2.33 亿,0.1321,0.0438
605598,上海港湾,13.33,4.73,0.942,4.68 亿,0.2299,0.0044
000059,华锦股份,13.32,3.18,0.995,2.29 亿,0.1083,0.0296
000735,罗 牛 山,13.31,3.46,0.979,3.56 亿,0.1256,0.0292
002248,华东数控,13.31,4.33,0.945,3.35 亿,0.162,0.0455
000561,烽火电子,13.31,4.05,0.983,3.58 亿,0.1552,0.044
688239,航宇科技,13.3,4.85,0.943,5.34 亿,0.2306,0.0132
600361,创新新材,13.3,3.31,0.976,3.87 亿,0.1043,0.0387
002405,四维图新,13.3,3.55,0.993,10.61 亿,0.1403,0.0249
600468,百利电气,13.29,4.04,0.97,2.45 亿,0.1535,0.0411
688515,裕太微,13.29,5.37,0.996,2.64 亿,0.2605,0.0417
300724,捷佳伟创,13.29,4.18,0.96,45.48 亿,0.1859,0.0162
300086,康芝药业,13.29,4.97,0.964,2.86 亿,0.222,0.0388
600984,建设机械,13.28,4.19,0.989,3.14 亿,0.177,0.035
603650,彤程新材,13.28,3.71,0.92,10.77 亿,0.1141,0.0425
603878,武进不锈,13.27,3.57,0.966,2.93 亿,0.1409,0.0187
002560,通达股份,13.26,3.38,0.959,4.05 亿,0.1327,0.0117
002929,润建股份,13.25,4.35,0.974,6.24 亿,0.1715,0.0479
002174,游族网络,13.23,4.14,0.99,3.61 亿,0.1923,0.0175
688187,时代电气,13.19,3.2,0.959,3.79 亿,0.0947,0.038
000899,赣能股份,13.17,3.06,0.918,2.18 亿,0.0776,0.0356
000762,西藏矿业,13.17,3.59,0.975,7.65 亿,0.1252,0.0409
002747,埃斯顿,13.15,3.75,0.993,4.61 亿,0.1684,0.0144
688147,微导纳米,13.15,5.24,0.936,6.97 亿,0.2508,0.0217
300593,新雷能,13.13,5.23,0.944,7.29 亿,0.2663,0.0098
300687,赛意信息,13.11,4.69,0.992,3.14 亿,0.2148,0.0397
002859,洁美科技,13.11,3.64,0.934,3.49 亿,0.1552,0.0044
600482,中国动力,13.1,3.13,0.926,14.98 亿,0.0809,0.0403
002885,京泉华,13.07,4.46,0.941,5.37 亿,0.2141,0.0074
600521,华海药业,13.06,3.24,1.0,2.92 亿,0.1092,0.0391
688179,阿拉丁,13.05,4.14,0.945,2.36 亿,0.1554,0.0442
000816,智慧农业,13.05,3.87,0.973,5.42 亿,0.1645,0.0245
000032,深桑达Ａ,13.05,4.47,0.977,5.25 亿,0.2017,0.0327
688372,伟测科技,13.0,5.53,0.937,8.15 亿,0.2843,0.0142
301408,华人健康,13.0,4.34,0.999,4.13 亿,0.1833,0.0498
603883,老百姓,12.99,3.26,0.981,2.10 亿,0.105,0.0413
002251,步步高,12.97,4.1,0.998,3.38 亿,0.1849,0.0307
002606,大连电瓷,12.95,3.2,0.939,5.56 亿,0.097,0.0346
002491,通鼎互联,12.95,3.88,0.932,17.94 亿,0.162,0.0172
300390,天华新能,12.94,4.35,0.936,16.29 亿,0.2139,0.001
600163,中闽能源,12.93,3.01,0.964,2.18 亿,0.089,0.0352
688289,圣湘生物,12.93,3.18,0.979,2.24 亿,0.0927,0.0477
603267,鸿远电子,12.92,4.09,0.991,5.88 亿,0.1954,0.0182
603191,望变电气,12.89,3.6,0.946,6.56 亿,0.1226,0.0415
002160,常铝股份,12.88,3.47,0.956,4.84 亿,0.1255,0.032
688091,上海谊众,12.87,4.86,0.991,2.05 亿,0.2366,0.0382
600026,中远海能,12.87,3.21,0.942,13.09 亿,0.1046,0.0302
688048,长光华芯,12.86,6.0,0.926,17.69 亿,0.3122,0.0198
300651,金陵体育,12.86,4.59,0.967,2.85 亿,0.2439,0.001
002324,普利特,12.86,3.8,0.961,6.10 亿,0.173,0.0108
603867,新化股份,12.85,3.49,0.977,3.39 亿,0.1288,0.0362
002522,浙江众成,12.85,3.34,0.968,2.21 亿,0.136,0.0158
300124,汇川技术,12.84,3.02,0.987,22.59 亿,0.105,0.027
688268,华特气体,12.84,3.95,0.981,2.10 亿,0.1543,0.0475
605056,咸亨国际,12.83,3.82,0.923,2.43 亿,0.1249,0.0497
002728,特一药业,12.8,3.66,0.987,6.28 亿,0.1373,0.045
300095,华伍股份,12.79,4.16,0.974,2.17 亿,0.1835,0.0333
000155,川能动力,12.78,3.01,0.979,6.38 亿,0.0926,0.038
688141,杰华特,12.78,6.0,0.95,6.40 亿,0.297,0.0491
300456,赛微电子,12.78,4.86,0.917,32.03 亿,0.2249,0.0236
002860,星帅尔,12.77,3.59,0.989,3.53 亿,0.1694,0.0086
002579,中京电子,12.76,4.24,0.969,3.84 亿,0.1732,0.049
000593,德龙汇能,12.76,4.08,0.916,3.58 亿,0.1891,0.004
002079,苏州固锝,12.73,3.13,0.999,6.48 亿,0.1124,0.0333
002203,海亮股份,12.73,3.09,0.959,5.39 亿,0.1234,0.0096
002123,梦网科技,12.72,4.36,0.983,2.74 亿,0.226,0.0114
300696,爱乐达,12.72,4.8,0.961,3.93 亿,0.2214,0.0416
688385,复旦微电,12.71,4.71,0.95,11.78 亿,0.2148,0.0373
002125,湘潭电化,12.7,3.66,0.963,3.66 亿,0.1343,0.0436
002180,纳思达,12.68,3.64,0.973,3.58 亿,0.1304,0.0488
300726,宏达电子,12.68,4.15,0.961,5.80 亿,0.1843,0.0307
601099,太平洋,12.68,3.09,0.997,5.79 亿,0.1,0.043
688280,精进电动,12.65,4.56,0.97,3.81 亿,0.2426,0.0068
001979,招商蛇口,12.65,3.33,0.973,7.71 亿,0.1172,0.0389
603978,深圳新星,12.65,5.01,0.966,2.29 亿,0.2338,0.0485
603078,江化微,12.65,3.71,0.955,9.89 亿,0.1341,0.0458
000837,秦川机床,12.62,3.79,0.997,2.08 亿,0.1745,0.0246
002163,海南发展,12.61,4.3,0.96,12.90 亿,0.1911,0.0361
600460,士兰微,12.61,3.35,0.971,22.81 亿,0.1407,0.0173
002145,钛能化学,12.61,3.19,0.993,5.05 亿,0.1325,0.0187
002658,雪迪龙,12.6,3.45,0.946,2.78 亿,0.1371,0.0217
600078,澄星股份,12.6,4.19,0.945,5.96 亿,0.1746,0.0396
605020,永和股份,12.59,3.52,0.99,3.71 亿,0.152,0.0249
300587,天铁科技,12.58,4.4,0.996,2.00 亿,0.242,0.0063
002782,可立克,12.57,3.78,0.929,3.72 亿,0.1442,0.0351
600783,鲁信创投,12.57,3.35,0.933,7.51 亿,0.1153,0.0335
601015,陕西黑猫,12.56,3.73,0.985,6.31 亿,0.1439,0.0488
600367,红星发展,12.53,3.87,0.96,5.38 亿,0.154,0.0422
688508,芯朋微,12.53,4.21,0.977,5.09 亿,0.211,0.0169
301158,德石股份,12.52,3.78,0.961,2.49 亿,0.1566,0.0338
001337,四川黄金,12.52,3.33,0.945,17.78 亿,0.1168,0.0343
300568,星源材质,12.52,4.16,0.996,7.07 亿,0.1906,0.0406
300619,金银河,12.51,5.19,0.976,5.50 亿,0.2692,0.0359
688006,杭可科技,12.5,3.86,0.981,2.52 亿,0.1879,0.0149
300682,朗新科技,12.49,4.68,0.999,6.82 亿,0.273,0.0013
002706,良信股份,12.49,3.6,0.985,3.84 亿,0.179,0.0045
688432,有研硅,12.48,3.38,0.968,2.87 亿,0.1364,0.0259
605006,山东玻纤,12.48,3.51,0.955,3.27 亿,0.1595,0.0092
688331,荣昌生物,12.48,5.95,0.962,5.40 亿,0.3249,0.034
603039,泛微网络,12.47,4.47,0.984,4.09 亿,0.2368,0.016
002307,北新路桥,12.46,3.41,0.994,2.58 亿,0.1551,0.017
002554,惠博普,12.44,3.55,0.983,3.82 亿,0.1451,0.0352
000798,中水渔业,12.42,3.63,0.998,3.86 亿,0.1587,0.0327
603353,和顺石油,12.38,4.6,0.923,3.37 亿,0.2122,0.0304
688200,华峰测控,12.36,4.81,0.919,9.59 亿,0.2127,0.0452
300777,中简科技,12.33,3.71,0.981,8.75 亿,0.1922,0.0032
300655,晶瑞电材,12.3,4.46,0.945,10.27 亿,0.2085,0.0343
600736,苏州高新,12.28,3.14,0.958,2.91 亿,0.1023,0.0428
300511,雪榕生物,12.25,4.62,0.999,2.01 亿,0.2716,0.0056
603939,益丰药房,12.23,3.34,0.979,3.52 亿,0.1182,0.0493
300414,中光防雷,12.2,4.55,0.957,2.55 亿,0.2091,0.0475
000951,中国重汽,12.2,3.06,0.961,4.29 亿,0.0947,0.0463
301050,雷电微力,12.17,3.68,0.972,6.89 亿,0.1435,0.0498
002928,华夏航空,12.17,3.66,0.961,2.39 亿,0.1529,0.0358
002803,吉宏股份,12.16,3.86,0.988,2.16 亿,0.1717,0.0418
600416,湘电股份,12.16,3.79,0.992,4.40 亿,0.1661,0.0428
300770,新媒股份,12.16,3.03,0.965,3.14 亿,0.0992,0.0409
600340,华夏幸福,12.13,4.58,0.985,3.33 亿,0.2264,0.046
600376,首开股份,12.12,4.62,0.981,3.98 亿,0.2735,0.0
600829,人民同泰,12.12,3.69,0.968,2.59 亿,0.1462,0.0489
688392,骄成超声,12.12,5.63,0.948,3.46 亿,0.326,0.0143
000065,北方国际,12.1,3.35,0.987,2.97 亿,0.1307,0.0424
600509,天富能源,12.09,3.2,0.958,3.05 亿,0.1201,0.0333
600230,沧州大化,12.06,3.33,0.924,7.46 亿,0.125,0.0301
002389,航天彩虹,12.06,3.55,0.983,5.83 亿,0.152,0.0377
600868,梅雁吉祥,12.04,3.52,0.953,9.16 亿,0.1448,0.0339
002044,美年健康,12.04,3.57,0.992,15.56 亿,0.159,0.0349
601011,宝泰隆,12.04,4.13,0.993,3.64 亿,0.2054,0.0351
600728,佳都科技,12.04,3.15,0.98,4.19 亿,0.151,0.0053
300196,长海股份,12.02,3.35,0.938,5.04 亿,0.1384,0.0231
688059,华锐精密,12.02,4.89,0.922,3.29 亿,0.2682,0.0073
603616,韩建河山,11.98,4.36,0.968,3.86 亿,0.2195,0.0327
301235,华康洁净,11.98,4.16,0.911,4.98 亿,0.2029,0.0137
600330,天通股份,11.96,3.58,0.931,23.41 亿,0.1624,0.0164
002212,天融信,11.95,3.83,0.994,3.15 亿,0.2021,0.0169
002649,博彦科技,11.94,3.58,0.993,2.81 亿,0.1616,0.0359
002738,中矿资源,11.93,4.09,0.908,22.01 亿,0.1943,0.0173
600745,闻泰科技,11.93,3.59,0.982,16.06 亿,0.1517,0.0438
002243,力合科创,11.91,3.23,0.965,2.07 亿,0.1328,0.0287
002617,露笑科技,11.91,3.62,0.967,10.77 亿,0.1453,0.0489
605599,菜百股份,11.89,3.3,0.922,3.87 亿,0.1198,0.0364
600478,科力远,11.86,3.74,0.957,3.98 亿,0.1974,0.0044
600850,电科数字,11.85,3.37,0.97,3.55 亿,0.1301,0.0456
300014,亿纬锂能,11.85,4.03,0.979,31.39 亿,0.1921,0.0408
002809,红墙股份,11.84,3.95,0.971,4.64 亿,0.1829,0.0416
688403,汇成股份,11.82,4.39,0.936,7.40 亿,0.2063,0.0413
603906,龙蟠科技,11.81,4.36,0.975,2.35 亿,0.2456,0.0146
603737,三棵树,11.8,4.14,0.998,3.21 亿,0.2345,0.0154
600536,中国软件,11.79,3.73,0.997,7.14 亿,0.1687,0.0471
600151,航天机电,11.75,4.32,0.935,14.54 亿,0.2054,0.0385
002941,新疆交建,11.75,3.4,0.992,3.28 亿,0.173,0.0136
300163,先锋新材,11.74,4.89,0.95,3.27 亿,0.2689,0.0265
603331,百达精工,11.74,3.53,0.955,6.61 亿,0.142,0.0447
300185,通裕重工,11.71,3.04,0.972,3.36 亿,0.115,0.0376
688185,康希诺,11.7,3.78,0.997,2.01 亿,0.1941,0.0281
603127,昭衍新药,11.67,4.58,0.966,5.49 亿,0.2631,0.0155
000400,许继电气,11.57,3.31,0.945,12.25 亿,0.1382,0.0323
000070,特发信息,11.53,4.23,0.925,17.10 亿,0.2362,0.0026
002283,天润工业,11.51,3.23,0.916,7.01 亿,0.1296,0.0277
002064,华峰化学,11.49,3.03,0.916,6.77 亿,0.0972,0.0444
002201,九鼎新材,11.47,4.37,0.955,13.23 亿,0.2368,0.0271
002853,皮阿诺,11.45,4.58,0.922,2.01 亿,0.2497,0.0188
600770,综艺股份,11.45,3.89,0.975,5.45 亿,0.2084,0.0223
002300,太阳电缆,11.43,3.53,0.969,4.25 亿,0.1638,0.0351
000519,中兵红箭,11.42,3.39,0.973,8.89 亿,0.1443,0.0449
603966,法兰泰克,11.41,3.62,0.951,2.37 亿,0.1594,0.0424
002612,朗姿股份,11.41,3.2,0.993,2.02 亿,0.1412,0.0369
002049,紫光国微,11.41,3.29,0.987,20.98 亿,0.158,0.0268
600499,科达制造,11.36,3.06,0.912,7.57 亿,0.1449,0.0005
300443,金雷股份,11.31,4.05,0.995,2.53 亿,0.2107,0.0455
002434,万里扬,11.26,3.45,0.979,3.29 亿,0.1766,0.0236
688330,宏力达,11.25,3.13,0.943,2.24 亿,0.1577,0.0048
600588,用友网络,11.25,3.92,0.982,12.57 亿,0.1976,0.0443
300774,倍杰特,11.22,4.38,0.904,3.66 亿,0.2238,0.0291
002334,英威腾,11.2,3.26,0.994,4.11 亿,0.1657,0.0234
601001,晋控煤业,11.13,3.55,0.938,4.74 亿,0.1525,0.0465
002568,百润股份,11.08,3.6,0.951,2.27 亿,0.1781,0.0305
688122,西部超导,11.06,3.83,0.927,15.62 亿,0.1729,0.0477
600201,生物股份,11.06,3.44,0.926,6.32 亿,0.1706,0.0169
605337,李子园,11.02,3.47,0.975,2.16 亿,0.1672,0.0395
300454,深信服,10.94,4.47,0.98,24.20 亿,0.2714,0.0291
002043,兔 宝 宝,10.94,3.03,0.912,2.04 亿,0.1035,0.0487
301216,万凯新材,10.93,3.33,0.946,2.60 亿,0.1752,0.013
002497,雅化集团,10.93,3.77,0.932,13.78 亿,0.2172,0.0048
688663,新风光,10.92,4.17,0.91,2.37 亿,0.206,0.0411
605358,立昂微,10.91,3.73,0.97,11.88 亿,0.186,0.0462
603026,石大胜华,10.9,4.06,0.973,4.55 亿,0.2253,0.0368
002015,协鑫能科,10.88,3.51,0.982,8.86 亿,0.1796,0.0372
002057,中钢天源,10.87,3.13,0.957,2.30 亿,0.1447,0.0311
301080,百普赛斯,10.85,4.32,0.993,2.23 亿,0.2507,0.0443
688277,天智航,10.84,4.45,0.921,4.11 亿,0.2497,0.0287
002645,华宏科技,10.82,4.33,0.946,4.55 亿,0.2471,0.0314
300850,新强联,10.82,4.59,0.954,7.86 亿,0.276,0.0289
002056,横店东磁,10.82,3.04,0.951,6.92 亿,0.1435,0.0236
002217,合力泰,10.79,4.31,0.999,2.51 亿,0.2829,0.0165
600885,宏发股份,10.78,3.05,0.961,6.75 亿,0.123,0.0484
300066,三川智慧,10.76,4.06,0.95,5.71 亿,0.2174,0.0412
002624,完美世界,10.76,4.01,0.94,18.50 亿,0.2165,0.034
688567,孚能科技,10.75,4.17,0.969,2.16 亿,0.2315,0.0444
002518,科士达,10.73,4.3,0.932,6.23 亿,0.2606,0.0135
600110,诺德股份,10.68,4.02,0.967,6.32 亿,0.2464,0.0177
002259,升达林业,10.68,3.56,0.929,3.28 亿,0.1818,0.0281
600389,江山股份,10.67,3.62,0.953,3.70 亿,0.2094,0.0138
000935,四川双马,10.65,3.29,0.926,2.01 亿,0.1461,0.0399
002460,赣锋锂业,10.63,3.82,0.952,37.55 亿,0.2229,0.0191
601615,明阳智能,10.59,3.58,0.939,29.72 亿,0.1844,0.0334
600403,大有能源,10.56,4.2,0.952,4.50 亿,0.2424,0.0363
600570,恒生电子,10.51,3.46,0.985,10.24 亿,0.2113,0.0132
000811,冰轮环境,10.49,3.75,0.938,5.99 亿,0.2042,0.0314
688499,利元亨,10.45,5.24,0.976,3.28 亿,0.3822,0.0075
603778,国晟科技,10.44,4.88,0.918,14.25 亿,0.3135,0.0157
002555,三七互娱,10.41,3.55,0.988,16.89 亿,0.1977,0.0393
003022,联泓新科,10.4,3.19,0.994,2.49 亿,0.1634,0.0412
603938,三孚股份,10.39,3.83,0.957,3.53 亿,0.2032,0.0492
601218,吉鑫科技,10.36,3.46,0.95,2.31 亿,0.1697,0.0472
688350,富淼科技,10.33,4.05,0.905,2.08 亿,0.2095,0.0452
002427,尤夫股份,10.3,4.72,0.982,2.51 亿,0.3079,0.042
600338,西藏珠峰,10.26,3.82,0.961,12.52 亿,0.2082,0.0499
002121,科陆电子,10.23,3.86,0.949,5.59 亿,0.2396,0.0184
600103,青山纸业,10.19,3.31,0.957,2.85 亿,0.1816,0.0294
000600,建投能源,10.16,3.27,0.943,2.63 亿,0.155,0.0489
300003,乐普医疗,10.04,3.24,0.994,5.94 亿,0.1804,0.0398
300257,开山股份,10.02,3.56,0.915,3.11 亿,0.1877,0.0372
002407,多氟多,9.94,3.76,0.929,18.89 亿,0.2452,0.0064
002326,永太科技,9.9,4.1,0.942,19.19 亿,0.2626,0.0273
688119,中钢洛耐,9.88,3.17,0.973,2.62 亿,0.1638,0.048
600610,中毅达,9.81,5.35,0.998,8.48 亿,0.3973,0.0475
002709,天赐材料,9.65,4.2,0.971,23.08 亿,0.2775,0.0452
688231,隆达股份,9.54,3.82,0.937,2.30 亿,0.227,0.0483
002309,中利集团,9.52,3.92,0.977,4.91 亿,0.2585,0.0439
603122,合富中国,9.5,4.06,0.94,4.79 亿,0.2616,0.0399
601778,晶科科技,9.31,3.16,0.971,10.61 亿,0.1848,0.045
688388,嘉元科技,9.13,4.79,0.931,7.82 亿,0.3391,0.049
603916,苏博特,8.89,3.13,0.993,4.38 亿,0.2027,0.0468
603588,高能环境,8.79,3.12,0.934,5.93 亿,0.188,0.0441
603259,药明康德,8.08,3.37,0.971,35.40 亿,0.2592,0.0457
603444,吉比特,8.07,3.84,0.987,6.53 亿,0.3456,0.024
002250,联化科技,7.84,3.75,0.904,5.83 亿,0.289,0.0438
