代码,名称,网格综合评分,平均日振幅(%),震荡纯度(0-1),近20日均成交额,MA120变异系数,趋势斜率惩罚
sz159732,消费电子ETF,6.81,2.61,0.921,1.23 亿,0.1698,0.0834
sz159608,稀有金属ETF,6.78,2.68,0.881,2.72 亿,0.192,0.0557
sh513700,港股通医药ETF鹏华,6.74,2.55,0.965,1.20 亿,0.2071,0.0585
sh512500,中证500ETF华夏,6.74,1.82,0.91,5.68 亿,0.1072,0.0383
sh588060,科创50ETF广发,6.71,2.46,0.927,1.99 亿,0.1744,0.0649
sh513200,港股通医药ETF易方达,6.68,2.6,0.963,1.25 亿,0.2129,0.0623
sh588050,科创50ETF工银,6.65,2.43,0.927,3.00 亿,0.1736,0.0647
sh510510,中证500ETF广发,6.64,1.81,0.907,0.69 亿,0.1076,0.0393
sh588080,科创50ETF易方达,6.63,2.43,0.927,12.11 亿,0.1745,0.0654
sh588090,科创50ETF华泰柏瑞,6.62,2.41,0.928,2.20 亿,0.1735,0.0644
sh516860,金融科技ETF博时,6.59,3.04,0.961,0.64 亿,0.2387,0.1042
sz159993,证券ETF鹏华,6.57,1.99,0.97,0.89 亿,0.1322,0.0615
sh588000,科创50ETF,6.53,2.41,0.926,39.36 亿,0.1758,0.0665
sz159692,证券ETF东财,6.49,2.07,0.968,0.56 亿,0.1351,0.0739
sh513060,恒生医疗ETF博时,6.48,2.49,0.965,7.29 亿,0.2103,0.0601
sh512930,AI人工智能ETF,6.47,2.75,0.92,1.84 亿,0.2088,0.0818
sh512760,芯片ETF,6.37,2.8,0.911,3.72 亿,0.2093,0.091
sh516640,芯片ETF富国,6.36,2.81,0.911,0.95 亿,0.2108,0.0923
sh515630,证券保险ETF鹏华,6.32,1.93,0.964,0.53 亿,0.1316,0.063
sz159957,创业板ETF华夏,6.3,2.24,0.925,1.12 亿,0.1676,0.0619
sh512480,半导体ETF,6.27,2.85,0.908,15.01 亿,0.2167,0.0958
sh513580,恒生科技ETF指数,6.23,2.3,0.97,0.83 亿,0.1731,0.0841
sz159667,工业母机ETF,6.22,2.51,0.891,1.04 亿,0.1816,0.0781
sz159615,恒生生物科技ETF南方,6.1,2.67,0.957,0.93 亿,0.2383,0.081
sh513130,恒生科技ETF,6.09,2.25,0.979,54.05 亿,0.1762,0.0849
sh516350,芯片ETF易方达,6.08,2.8,0.906,0.65 亿,0.2184,0.0988
sh513280,恒生生物科技ETF汇添富,6.07,2.72,0.954,0.65 亿,0.243,0.085
sz159780,科创创业50ETF南方,6.06,2.39,0.915,0.81 亿,0.1896,0.0716
sz159813,半导体ETF,6.05,2.76,0.909,3.67 亿,0.2167,0.0985
sh560860,工业有色ETF万家,6.03,2.46,0.866,9.05 亿,0.186,0.0675
sh588380,双创50ETF,6.03,2.39,0.914,0.83 亿,0.19,0.0721
sz159792,港股通互联网ETF,6.03,2.48,0.979,23.52 亿,0.2041,0.0993
sh512070,证券保险ETF易方达,6.02,1.98,0.955,6.50 亿,0.1438,0.0697
sz159741,恒生科技ETF嘉实,6.02,2.22,0.978,1.29 亿,0.1759,0.0854
sz159781,科创创业ETF易方达,6.0,2.38,0.915,2.13 亿,0.1912,0.0721
sh513010,恒生科技ETF易方达,6.0,2.24,0.978,11.58 亿,0.1777,0.0874
sz159995,芯片ETF,5.99,2.74,0.909,9.01 亿,0.2177,0.099
sz159994,通信ETF银华,5.99,2.97,0.981,1.08 亿,0.2672,0.119
sz159819,人工智能ETF易方达,5.97,2.77,0.914,6.53 亿,0.2271,0.097
sh515070,人工智能AIETF,5.96,2.74,0.914,2.47 亿,0.225,0.0958
sz159681,创50ETF,5.96,2.43,0.92,1.04 亿,0.1971,0.0788
sh513180,恒生科技指数ETF,5.96,2.23,0.978,46.79 亿,0.1786,0.0872
sz159783,科创创业50ETF,5.95,2.35,0.913,1.76 亿,0.1894,0.0712
sh512400,有色金属ETF,5.95,2.38,0.868,27.27 亿,0.1778,0.0696
sz159682,创业板50ETF景顺,5.93,2.42,0.921,2.33 亿,0.1973,0.0785
sz159949,创业板50ETF,5.92,2.41,0.922,11.62 亿,0.1968,0.0779
sh510410,资源ETF博时,5.92,1.9,0.869,0.64 亿,0.1223,0.057
sz159740,恒生科技ETF大成,5.92,2.2,0.978,19.20 亿,0.1772,0.0859
sz159742,恒生科技ETF博时,5.91,2.22,0.978,2.36 亿,0.1798,0.0873
sh561330,矿业ETF,5.91,2.55,0.858,2.49 亿,0.1939,0.0765
sz159892,恒生医药ETF,5.91,2.62,0.953,8.40 亿,0.2399,0.0836
sz159880,有色ETF鹏华,5.88,2.42,0.864,1.19 亿,0.1814,0.0746
sh513260,恒生科技ETF汇添富,5.87,2.22,0.976,3.38 亿,0.18,0.089
sz159691,港股红利ETF工银,5.85,1.54,0.927,3.53 亿,0.0921,0.0518
sz159996,家电ETF,5.85,1.74,0.929,0.53 亿,0.1149,0.0617
sz159652,有色ETF汇添富,5.84,2.4,0.866,5.05 亿,0.1809,0.0748
sh513220,中概互联ETF,5.83,2.16,0.975,0.73 亿,0.1709,0.0903
sh561550,500增强ETF,5.8,1.8,0.893,0.62 亿,0.124,0.0529
sz159735,港股消费ETF银华,5.8,2.11,0.961,0.91 亿,0.1697,0.0806
sh515880,通信ETF,5.76,3.17,1.0,11.51 亿,0.3124,0.1381
sh513520,日经ETF,5.75,1.58,0.912,4.27 亿,0.1002,0.0507
sz159750,港股科技50ETF招商,5.71,2.26,0.976,0.88 亿,0.1951,0.0902
sh516650,有色金属ETF基金,5.7,2.36,0.863,8.69 亿,0.1819,0.0753
sz159607,中概互联网ETF嘉实,5.66,2.05,0.977,1.50 亿,0.1661,0.0883
sz159605,中概互联ETF,5.65,2.04,0.977,3.67 亿,0.1652,0.0881
sh513890,恒生科技ETF摩根,5.62,2.2,0.974,0.69 亿,0.1882,0.0937
sh513120,港股创新药ETF,5.6,2.82,0.949,36.24 亿,0.2719,0.1058
sh513040,港股通互联网ETF易方达,5.54,2.51,0.964,6.43 亿,0.2103,0.1262
sh588200,科创芯片ETF,5.54,3.12,0.896,30.77 亿,0.2787,0.1264
sh513070,港股通消费ETF易方达,5.53,2.13,0.955,2.40 亿,0.1792,0.0877
sh516150,稀土ETF嘉实,5.51,2.56,0.884,4.23 亿,0.2224,0.0879
sh588290,科创芯片ETF基金,5.51,3.11,0.895,2.46 亿,0.2788,0.1262
sh513560,香港科技ETF,5.47,2.49,0.964,0.97 亿,0.2287,0.1093
sz159747,香港科技ETF南方,5.42,2.16,0.976,0.55 亿,0.1947,0.0942
sh512800,银行ETF,5.41,1.5,0.948,7.71 亿,0.1523,0.0112
sz159636,港股通科技30ETF工银,5.39,2.48,0.977,5.80 亿,0.2351,0.1157
sh513980,港股科技50ETF,5.37,2.42,0.967,6.30 亿,0.2277,0.1079
sh515050,通信ETF华夏,5.36,2.96,0.889,2.79 亿,0.2713,0.1205
sz159751,港股通科技ETF鹏华,5.34,2.39,0.964,0.62 亿,0.2241,0.1071
sh516780,稀土ETF,5.29,2.53,0.881,2.32 亿,0.2287,0.0927
sh513160,港股科技ETF银华,5.27,2.45,0.961,4.82 亿,0.2308,0.1168
sz159713,稀土ETF,5.27,2.55,0.878,1.60 亿,0.2305,0.094
sz159680,中证1000增强ETF招商,5.24,2.0,0.899,0.58 亿,0.167,0.0771
sh513860,港股通科技ETF海富通,5.24,2.37,0.966,1.99 亿,0.2277,0.1086
sh513020,港股科技ETF,5.08,2.32,0.965,1.98 亿,0.231,0.1103
sz159715,稀土ETF易方达,4.97,2.48,0.875,1.11 亿,0.2369,0.0987
sh513690,港股红利ETF博时,4.33,1.51,0.903,2.52 亿,0.1403,0.0755
sh510900,恒生中国企业ETF易方达,4.23,1.67,0.946,3.25 亿,0.1785,0.0938
sh513600,恒生指数ETF南方,4.11,1.51,0.935,1.81 亿,0.1606,0.0818
sh513310,中韩半导体ETF,4.11,2.27,0.806,50.67 亿,0.2319,0.114
sh513550,港股通50ETF,4.05,1.58,0.929,0.99 亿,0.1733,0.0893
sz159887,银行ETF,4.01,1.51,0.931,1.97 亿,0.1607,0.0894
sh513090,香港证券ETF易方达,4.0,2.36,0.932,60.54 亿,0.3016,0.1482
sh513140,港股金融ETF,3.81,1.69,0.891,0.83 亿,0.1934,0.1014
sh515220,煤炭ETF,3.06,2.04,0.923,8.45 亿,0.3422,0.1731
sh512200,房地产ETF,3.02,2.47,0.906,3.42 亿,0.4267,0.2158
sz159922,中证500ETF嘉实,2.79,1.81,0.92,9.80 亿,0.3247,0.1724
sh516160,新能源ETF,2.22,2.37,0.835,2.44 亿,0.5225,0.269
sh510580,中证500ETF易方达,1.29,1.83,0.754,0.68 亿,0.6327,0.3386
